,url,checked,title
113,https://singlife.com/content/dam/public/sg/documents/life-insurance/direct-purchase-insurance/brochure.pdf,True,brochure
114,https://singlife.com/en/life-insurance/direct-term-life,True,DIRECT - Singlife Term Life | Affordable Term Life Insurance | Singlife Singapore
115,https://singlife.com/en/life-insurance/direct-whole-life,True,DIRECT - Singlife Whole Life | Singlife Singapore
116,https://singlife.com/content/dam/public/sg/documents/medical-insurance/singlife-health-plus-and-singlife-shield-brochure.pdf,True,singlife-health-plus-and-singlife-shield-brochure
117,https://singlife.com/en/medical-insurance/shield,True,Singlife Shield | Medical Insurance Online | Singlife Singapore
118,https://singlife.com/en/medical-insurance/health-plus,True,Singlife Health Plus | Health Insurance | Singlife Singapore
119,https://singlife.com/content/dam/public/sg/documents/medical-insurance/singlife-cancer-cover-plus-brochure.pdf,True,singlife-cancer-cover-plus-brochure
120,https://singlife.com/content/dam/public/sg/documents/critical-illness-insurance/singlife-comprehensive-critical-illness/brochure.pdf,True,brochure
121,https://singlife.com/en/critical-illness-insurance/comprehensive-critical-illness,True,Singlife Comprehensive Critical Illness | Early Stage Coverage | Singlife Singapore
122,https://singlife.com/content/dam/public/sg/documents/critical-illness-insurance/singlife-multipay-critical-illness/brochure.pdf,True,brochure
123,https://singlife.com/en/critical-illness-insurance/multipay-critical-illness,True,Singlife Multipay Critical Illness | Critical Illness Cover | Singlife Singapore
124,https://singlife.com/content/dam/public/sg/documents/critical-illness-insurance/singlife-essential-critical-illness/brochure.pdf,True,brochure
125,https://singlife.com/en/critical-illness-insurance/essential-critical-illness,True,Singlife Essential Critical Illness | Pre-Existing Conditions Coverage | Singlife Singapore
126,https://singlife.com/en/disability-insurance/disability-income,True,Singlife Disability Income | Disability Income Protection | Singlife Singapore
127,https://singlife.com/content/dam/public/sg/documents/disability-insurance/singlife-careshield-standard-and-singlife-careshield-plus/singlife-careshield-standard-and-plus-brochure.pdf,True,singlife-careshield-standard-and-plus-brochure
128,https://singlife.com/content/dam/public/sg/documents/disability-insurance/singlife-eldershield-standard-and-singlife-eldershield-plus/singlife-eldershield-standard-and-plus-brochure-eng.pdf,True,singlife-eldershield-standard-and-plus-brochure-eng
129,https://singlife.com/en/disability-insurance/eldershield,True,Singlife ElderShield Standard & Singlife ElderShield Plus | Eldershield Supplementary Plan | Singlife
130,https://singlife.com/en/form/better-plan-sfa-maternity-care,True,Better Plan SFA (Maternity Care) | Singlife
131,https://singlife.com/content/dam/public/sg/documents/maternity-insurance/singlife-maternity-care/brochure.pdf,True,brochure
132,https://singlife.com/content/dam/public/sg/images/maternity-insurance/singlife-maternity-care/singlife-maternity-care-infographic.png,True,png
133,https://singlife.com/en/accident-insurance/accident-guard,True,Singlife Accident Guard | Personal Accident Insurance | Singlife SG
134,https://singlife.com/en/savings/steadypay-saver,True,Singlife Steadypay Saver | Insurance Savings Plan | Singlife Singapore
135,https://singlife.com/en/savings/choice-saver,True,Singlife Choice Saver | 100% Capital Guaranteed Plan | Singlife Singapore
136,https://singlife.com/en/savings/legacy-income,True,Singlife Legacy Income | Insurance Savings Plan | Singlife Singapore
137,https://singlife.com/en/savings/flexi-life-income-ii,True,Singlife Flexi Life Income II | Participating whole life insurance plan | Singlife
138,https://singlife.com/content/dam/public/sg/documents/maternity-insurance/singlife-maternity-care/brochure-chinese.pdf,True,brochure-chinese
139,http://www.lia.org.sg/,True,Home
140,http://www.sdic.org.sg/,True,Singapore Deposit Insurance Corporation - SDIC
141,http://www.singlife.com/pdpa,True,PDPA
142,https://singlife.com/content/dam/public/sg/documents/accident-insurance/singlife-accident-guard/brochure.pdf,True,brochure
143,https://singlife.com/content/dam/public/sg/documents/accident-insurance/singlife-personal-accident/summary-of-cover.pdf,True,summary-of-cover
144,https://singlife.com/en/accident-insurance/personal-accident,True,Singlife Personal Accident Insurance Plan | Singlife Singapore
145,https://applogin.singlife.com/directinsurance/gimotor.htm,True,Get a Car Insurance Quote
146,https://singlife.com/en/faq/car-insurance,True,Most Popular FAQs on Car Insurance | Singlife
147,https://singlife.com/en/electric-car-insurance,True,Singlife Electric Car Insurance Plans | Lifestyle Insurance | Singlife Singapore
148,https://singlife.com/content/dam/public/sg/documents/lifestyle-insurance/singlife-car-insurance/summary-of-cover.pdf,True,summary-of-cover
149,https://applogin.singlife.com/directinsurance/gimotor.htm?execution=e1s1,True,Get a Car Insurance Quote
150,https://singlife.com/en/claims/singlife-approved-car-repairers,True,Singlife Approved Car Repairers | Car & Electric Vehicle (EV) Insurance
151,http://www.gia.org.sg,True,General Insurance Association Of Singapore (GIA)
152,http://www.sdic.org.sg,True,Singapore Deposit Insurance Corporation - SDIC
153,https://singlife.com/en/faq/travel-insurance/details.html/_faq-hub_travel-insurance/covid-19-cover.html,True,COVID-19 cover
154,https://www.mfa.gov.sg/,True,Ministry of Foreign Affairs Singapore - Home
155,https://www.moh.gov.sg/,True,Ministry of Health
156,https://singlife.com/en/faq/travel-insurance,True,Most Popular FAQs on Travel Insurance | Singlife
157,https://singlife.com/content/dam/public/sg/documents/lifestyle-insurance/singlife-travel-insurance/policy-documents/travel-policy-document.pdf,True,travel-policy-document
158,https://singlife.com/en/promotions/mindef-and-mha-privileges,True,MINDEF & MHA Group Scheme Promotions and Privileges | Singlife
159,https://singlife.com/en/insurance/pogis,True,Public Officers Group Insurance Scheme (POGIS) | Singlife Singapore
161,https://singlife.com/en/form/general-insurance-claims,True,General insurance claim enquiries - Singlife
162,https://singlife.com/en/faq/home-insurance,True,Most Popular FAQs on Home Insurance | Singlife
163,https://singlife.com/content/dam/public/sg/documents/lifestyle-insurance/singlife-home-insurance/summary-of-cover.pdf,True,summary-of-cover
164,https://singlife.com/content/dam/public/sg/documents/lifestyle-insurance/singlife-home-insurance/claim-form.pdf,True,claim-form
165,https://singlife.com/cdn-cgi/l/email-protection,True,Email Protection | Cloudflare
166,https://ebh.singlife.com/eb/mindef-mha/,True,MINDEF & MHA Group Insurance
167,https://singlife.com/content/dam/public/sg/documents/mindef-and-mha/products/group-term-life-product-summary.pdf,True,group-term-life-product-summary
168,https://singlife.com/content/dam/public/sg/documents/mindef-and-mha/products/group-personal-injury-product-summary.pdf,True,group-personal-injury-product-summary
169,https://singlife.com/content/dam/public/sg/documents/mindef-and-mha/riders/living-care-product-summary.pdf,True,living-care-product-summary
170,https://singlife.com/content/dam/public/sg/documents/mindef-and-mha/riders/living-care-plus-product-summary.pdf,True,living-care-plus-product-summary
171,https://singlife.com/content/dam/public/sg/documents/mindef-and-mha/riders/disability-income-product-summary.pdf,True,disability-income-product-summary
172,https://singlife.com/content/dam/public/sg/documents/mindef-and-mha/riders/outpatient-medicare-product-summary.pdf,True,outpatient-medicare-product-summary
173,https://www.lia.org.sg/,True,Home
174,https://singlife.com/content/public/sg/en/prod-backup/insurance1/car.html,True,Singlife: Insurance & Investment Singapore. Buy Online or Get Advice
175,https://singlife.com/content/public/sg/en/prod-backup/insurance1/travel.html,True,Singlife: Insurance & Investment Singapore. Buy Online or Get Advice
176,https://singlife.com/content/public/sg/en/prod-backup/insurance1/home.html,True,Singlife: Insurance & Investment Singapore. Buy Online or Get Advice
177,https://singlife.com/en/faq/mindef-and-mha-group-insurance-faq,True,MINDEF & MHA Group Insurance FAQs | Singlife
178,http://lia.org.sg/,True,Home
179,http://sdic.org.sg/,True,Singapore Deposit Insurance Corporation - SDIC
180,https://ebh.singlife.com/eb/mindef-mha/?groupName=MHA,True,MINDEF & MHA Group Insurance
